"fyear","AEE","AEM","AFL","AIG","AVP","BBY","BC","CBM","CLC","CVS","D","ES","ETR","EV","FAST","FE","FRT","GD","GPC","GWW","GXP","HCP","HD","HNI","HOG","HRC","INT","IP","JBHT","JNJ","KELYA","LEN","LLY","LNC","LPX","MKC","MRTN","NE","NOC","OLN","OSK","PCAR","PHM","PKI","R","SAFM","SGMS","SPXC","SWKS","TGNA","TGT","TMK","TRN","TROW","TSN","UHS","UNH","UNP","VFC","WHR","WR","YRCW"
1999,8.54125190839694,5.27139495798319,8.24370860927152,48.3329479768786,7.41818181818182,6.99540503432495,2.84044943820225,0.783825771324864,3.10371223021583,14.6934169278997,11.2611464968153,-3.01655927051671,21.9360776699029,-0.210925045703839,0.883271210013908,26.9217851239669,2.86697674418605,15.5450236966825,16.7977833753149,3.37190065359477,5.07898016997167,3.89667015706806,39.1169977924945,3.7694358974359,3.88614243902439,7.28336380255941,-0.904068376068376,4.35880398671096,2.06085778781038,39.9571045576408,3.61699502487562,7.11871264367816,7.02706766917293,24.945525,16.1635555555556,3.38089668615984,0.743533980582524,4.96653435114504,6.82543352601156,2.52365930599369,1.11233802816901,10.1483779971791,11.1865333333333,2.88784407796102,18.211273657289,0.716477987421383,0.893658536585366,1.1508120649652,0.184473684210526,11.9910865900383,17.8975332068311,9.09883870967742,6.84327176781003,4.46077834179357,14.8501901140684,2.02372222222222,11.4258823529412,18.5636623748212,11.5304,8.89913544668588,0.769062730627307,3.20333085501859
2000,11.6320215924426,0.593166666666668,8.74112554112554,55.9239061509195,9.64804177545692,9.7578857421875,-7.31254752851711,1.46002209944751,2.4667972027972,10.6561001042753,5.3134328358209,1.67888659793814,12.6738434268833,2.66935006273526,1.38263325740319,22.9456158415842,3.20547368421053,12.7435897435897,15.3978424821002,5.21632876712329,4.98952164009112,2.7728870292887,53.4854771784232,4.90996078431373,2.80231446540881,3.68627450980392,0.463874345549738,-18.8177641653905,2.57611895910781,35.2647233789411,4.14349206349206,0.423731755424064,28.0703828072532,12.4678044914135,6.33086419753087,3.31543624161074,0.664125654450262,2.88105899280576,5.19277108433735,2.03389830508475,1.06505806451613,8.56243654822335,1.33511111111111,0.824885714285714,4.81533834586466,-1.02314285714286,-13.5554838709678,1.79872905834778,-0.876761904761905,24.9111595639247,29.6998420221169,8.88161300813008,-3.64102564102564,12.9413678373383,13.6,0.796402684563758,15.0224032586558,17.9704433497537,6.0432119205298,10.5688073394495,5.59230226700252,3.18280890253262
2001,12.7627895981088,-1.56909827760892,14.3729641693811,65.3274559193955,0.941935483870969,-7.98219584569733,4.5266544117647,0.538417431192661,1.68585256887565,17.3716216216216,6.95507487520799,20.0861032331254,35.3281257990284,2.16434163701068,0.638988408851423,15.65431675243,2.7195652173913,8.51330989452536,6.50185286103542,1.3853125,-0.727301587301586,4.73297431648716,14.3741265721701,-0.0452079566003627,7.69736696740932,0.360942249240122,-0.1,-31.6976456009913,-0.471120689655173,104.027072758037,-1.07784376427592,-3.37505376344086,52.6088617265088,-11.8977969940292,-23.1161137440758,3.24186046511628,0.255593220338983,5.85922444183314,2.79734153357802,-7.29244114002478,1.45618442849255,0.385553185004571,9.25081710320125,0.464962878355225,1.02853273137698,0.914328358208955,-0.815314285714286,-1.55807158509861,-0.780131147540984,13.113208389112,27.5838775050664,9.86239511823036,-1.59735001840265,5.66233803627987,5.98802395209581,2.04392239364189,11.1911827045358,16.8070175438596,-1.94785952319918,-2.46829401336424,-6.32587209302326,0.812988047808765
2002,-4.04137599230214,-8.60060565275908,12.5166002656042,87.3292999135696,7.87080007425283,1.58238734090127,-8.28298086606244,0.998146309169149,1.22595744680851,10.1121345614738,28.3606557377049,11.1359920896506,0.930949769686335,3.2274468826193,2.90248729606847,22.2051562026084,1.76838549075391,12.9519969761875,1.24967532467532,3.33478176527643,3.93006993006993,3.58467362924282,189.521531100478,1.09734794908062,15.9897619047619,-0.386740331491713,0.500878048780488,-21.7901058049757,0.697372013651877,140.960714950661,0.164103601780656,12.1698227084119,55.6472440944882,47.3887270424319,-17.0843672456576,7.28457335014712,0.420432946145723,7.2177240398293,-9.11340206185567,1.47909967845659,0.565992907801418,7.12551484933882,-1.82533946104032,-15.5246060606061,4.78141711229946,2.35894514081068,4.3331955922865,0.841121495327103,-63.4490066225166,16.9340111420613,49.4505494505494,10.4014782370654,-0.870253164556963,5.95956744868035,34.6517626827171,4.00130820399113,21.1017964071856,18.1225989644229,-8.47054091539528,-5.24703178858675,-82.5914141414141,-4.10471993966099
2003,22.8695652173913,2.92642916321458,33.2780541735766,151.946288473144,8.79241369091718,0.375586854460094,4.42035815268614,-3.09746634996041,1.37727791733272,19.5044296788483,7.80197399342002,6.69841348537432,27.9521617363907,3.20914564220183,0.988241206030151,15.5528125,2.1529564990883,5.22181657262972,10.1756325301205,0.760118168389955,3.01137649277184,2.9392125984252,103.918804623626,2.26888273314866,4.82657269093204,4.53739808578518,0.0999705449189985,-19.577824170726,4.25242502776749,96.6124661246613,1.16436580238262,2.6320531154239,25.9334565619224,12.1692841218727,-28.7751677852349,8.78354827466016,0.766472491909385,6.13353828954723,20.2510460251046,-5.1345962113659,2.44549356223176,0.914003759398496,8.88395641956847,0.387111892208553,2.78319180087848,1.177546955037,0.53223335297584,1.19537493623533,-61.4905494505494,13.8634028712427,49.6048472075869,9.32397891963109,-1.19649805447471,2.15929128875765,25.4777070063694,3.39084139985108,11.911309728429,20.5094991364421,9.47860777058279,5.05161734342739,5.85185185185185,-0.159496820569533
2004,11.6274431591544,5.23730909090909,-36.5461847389558,148.378254910918,20.9276485788114,14.2169566827101,2.34141414141414,-1.76250922509225,0.966051028179741,30.3905036609718,14.7918511957485,6.28806366047745,12.0678206835331,2.9852361302155,2.39504548408057,24.3133890154391,1.71634075508228,10.6309751434034,6.30047662278711,3.95478835184629,5.54521136063408,6.00408089563019,136.476005816772,5.17742160278746,15.5380411522634,3.38412824064912,0.816004016064257,-1.02380952380952,4.02519509476031,76.8369599495427,0.558316766070245,17.5506343200534,-10.1903083700441,16.2064910025707,30.2393418100224,5.07270233196159,0.771491421029477,3.01292722155207,2.72259013980868,4.45049954586739,1.8065019277953,8.76739562624254,16.8298432601881,4.57567807914629,5.34362570651036,1.16164973838104,1.71564597315436,2.91812281577634,-2.06972573839662,15.3771603427173,32.7161709671066,8.23591179558978,-4.27230046948357,1.19040192926045,24.7815230961298,3.84786516853933,9.7466772691128,2.28996282527881,9.28795594077284,5.90955064297067,10.2237866200262,2.74643690540298
2005,11.5534738485558,0.448582995951416,84.8341232227488,141.594606478089,18.2802101576182,15.5959896026736,9.77619281849484,-3.98076718167288,2.50279743849006,41.7713853141559,16.3730569948187,-12.5303199593702,13.8698907501821,6.45062274005625,3.68331203680041,17.6566646254338,2.24976092333059,0.929416922402455,8.75591985428051,3.24760900140647,6.66562947067239,6.59925665101722,136.91738594328,1.66373566357182,21.2427267430569,-0.928799149840595,-0.874762752075919,58.4647426361202,10.3628533568905,55.4742096505824,1.94260106788711,29.6745319001387,73.5536313836367,3.41427493871393,14.2191481616309,7.91479820627803,1.36311745334797,3.3121774879501,17.0520712027949,-1.17378048780488,1.41448100092678,13.4045933843709,20.2768292682927,-1.92797113752122,4.75906874695271,3.24346566212692,3.53101173020528,23.4280096132838,4.64301994301994,21.6302955258379,54.8858447488584,8.75438848920863,2.67075107783072,1.76440372067194,20.8864265927978,5.69120667522465,30.0933376247184,15.2776052664265,12.348970003614,1.64756446991404,5.65962790697674,6.99973100201749
2006,9.62218499906942,-1.54633850630456,34.2826086956522,201.911805749372,11.4951573849879,19.5352839931153,10.6018808777429,-0.654709507042254,2.24513783701908,43.7269492073763,16.6984732824427,1.42073863636364,7.84061958405546,3.19362113402062,6.57828874024526,20.4809286898839,1.36301176470588,34.7410894418292,11.1371073160447,8.28231341149557,5.31053459119497,10.2716458446497,146.048109965636,3.85059671245215,13.5327799063431,3.8030888030888,0.466419253261359,32.1407624633431,10.5918632643235,351.484398667071,0.373427781617139,16.6646285714286,51.0019193857965,30.2259036144578,21.6395726892708,4.92510330578512,1.21428571428572,10.4005384110309,31.4918759231905,15.3510895883777,6.185813354468,21.9861325115562,34.3617753623188,20.0245164192533,4.83196239717979,0.592499057670561,2.76407542176645,4.553629823414,-20.8822736030829,18.8277208071452,59.0286831812256,8.17459222082811,1.55113636363636,12.7987205848755,-11.8387909319899,4.55497023272596,-13.7725665363856,16.8658987176701,6.02990984405458,8.58829197783667,7.15146379044684,7.49011396766499
2007,7.58162700608744,2.55550064067362,20.5492575443078,95.3001715265866,20.8752845939793,30.1325273192281,3.73020527859237,24.7472553699284,2.43538331929233,53.1094339622641,50.7903055848261,22.9590865538167,7.6993641231593,-1.70673595842495,4.84732805541811,17.5559856234448,1.9031162507608,8.82121586695134,9.11365010799136,7.56500228519196,5.24897680763984,15.8467797584819,148.466057441253,3.26794067313177,16.7479126525369,3.52053798618684,7.06569066482949,61.1179740580605,7.46090744101634,107.406296851574,4.96109324758843,-123.608333333333,55.6564899793969,20.1305393335623,-20,6.55587542528134,1.02781362007169,19.5834896478499,23.4231943031536,-5.96999482669426,3.53396804905599,23.9941262848752,-262.329506641366,4.88128362797848,5.81459263986386,2.40247126436782,1.97034586466166,4.18181818181818,-5.21880530973451,27.5519230769231,21.8693612414291,8.7045762431852,11.3472622478386,10.8163600525624,14.733893557423,3.300234375,104.965635738832,14.3607705779334,9.14300903000291,8.99179223324758,6.96981495759445,-36.2915740198947
2008,26.3980757666867,6.06797194623027,42.6483420593368,-67266.8789808917,27.9692051602164,68.0777238029146,-183.895486935867,2.48203463203463,2.53076923076923,101.471816283925,57.6729910714286,7.96654197838737,6.94165764465295,19.7036363636364,7.16849354375896,19.0613421160972,2.66196842783505,64.7508247959715,16.6934759640782,2.34315068493151,8.30315571650285,17.5441843716241,99.4426381792847,2.51218434343434,25.8823806717737,-1.14153744638733,-4.7265945945946,-136.694915254237,8.11484583174724,160.922614073207,-8.53082244427363,-213.405485232068,-110.372485721381,-223.142250530786,-203.076923076923,8.5589519650655,1.01761603375527,54.7189678587596,-40.0310834813499,12.0132743362832,4.76443768996961,29.1258741258741,-189.378499542543,10.447735442128,5.09979370809696,-1.43392056374119,-6.25427594070695,4.15782983970407,15.2486842105263,-834.388125,121.794871794872,9.2875615212528,26.243654822335,18.5327313769752,-10.3852596314908,5.59677934522225,166.015037593985,41.1506276150628,9.67489501551945,9.26239419588875,7.84880546075085,-432.58118466899
